2026-01-30 01:15:40 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:15:44 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:15:50 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:15:55 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:16:00 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:16:05 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:16:10 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:16:15 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:16:20 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:16:25 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:16:31 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:16:36 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:16:41 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:16:46 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:16:49 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: YES | Level: Medium | Value: 5605
2026-01-30 01:16:54 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: YES | Level: High | Value: 52921
2026-01-30 01:17:00 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: YES | Level: High | Value: 23442
2026-01-30 01:17:03 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 4280
2026-01-30 01:17:03 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: YES | Level: High | Value: 15452
2026-01-30 01:17:04 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 1049
2026-01-30 01:17:09 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:17:14 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:17:19 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:17:24 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:17:29 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:17:35 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:17:40 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:17:44 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: YES | Level: High | Value: 40459
2026-01-30 01:17:49 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:17:54 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:17:59 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:18:04 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:18:10 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:18:15 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:18:20 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:18:25 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:18:30 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:18:35 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:18:40 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:18:46 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:18:51 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:18:56 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:19:01 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:19:06 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:19:11 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:19:16 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:19:22 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:19:26 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:19:32 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:19:37 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:19:42 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:19:47 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:19:52 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:19:57 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:20:02 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
